Time: 2024-04-05 18:57:10.335874 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-07 15:44:31.248604 | Guild: 1058918601987469404 | User: 9 | Cmd: Adelete | Flags: [2, 2, 2, 2]
Time: 2024-04-07 16:34:47.092353 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2]
Time: 2024-04-07 16:35:01.972618 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-07 16:38:31.497319 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-07 16:38:55.586773 | Guild: 1058918601987469404 | User: 10 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-07 16:40:25.313402 | Guild: 1058918601987469404 | User: 10 | Cmd: Averify | Flags: [2, 2, 2, 2, 'Network-related error occurred: 403 Client Error: Forbidden for url: https://api-sepolia.etherscan.io/api?module=account&action=txlist&address=0xD3Fb39a1bA4602EFF76D0E95F43a696eAE2713f4&startblock=5644290&endblock=5652790&offset=10&sort=dec&apikey=DIISIKKIN5CRB987B1IKITU8B7QBJ71Y6T']
Time: 2024-04-07 16:44:40.450451 | Guild: 1058918601987469404 | User: 10 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-07 16:47:21.128737 | Guild: 1058918601987469404 | User: 10 | Cmd: Fverify | Flags: [2, 2, 2]
Time: 2024-04-07 16:50:15.448734 | Guild: 1058918601987469404 | User: 10 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-07 16:50:42.461971 | Guild: 1058918601987469404 | User: 10 | Cmd: Fverify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-09 23:14:22.187570 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, ('Data processing error occurred: API ERROR: No transactions found', 6)]
Time: 2024-04-09 23:14:47.572409 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, ('Data processing error occurred: API ERROR: No transactions found', 6)]
Time: 2024-04-09 23:21:26.881994 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, ('Data processing error occurred: API ERROR: No transactions found', 6)]
Time: 2024-04-09 23:24:45.485944 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-09 23:25:35.484317 | Guild: 1058918601987469404 | User: 1 | Cmd: Acreate | Flags: [2, 2]
Time: 2024-04-09 23:30:42.172069 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-09 23:30:57.173950 | Guild: 1058918601987469404 | User: 1 | Cmd: Acreate | Flags: [2, 2]
Time: 2024-04-09 23:33:55.424438 | Guild: 1058918601987469404 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-09 23:34:52.929610 | Guild: 1058918601987469404 | User: 1 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-10 21:24:41.962384 | Guild: 1058918601987469404 | User: 1 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-10 21:27:22.787434 | Guild: 1058918601987469404 | User: 1 | Cmd: Fverify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-10 22:03:57.909406 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-10 22:08:19.348459 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-10 22:12:28.477103 | Guild: 1058918601987469404 | User: 2 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-10 22:12:39.949050 | Guild: 1058918601987469404 | User: 2 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-10 22:16:51.533243 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-10 22:17:02.427738 | Guild: 1058918601987469404 | User: 3 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-10 22:17:11.891929 | Guild: 1058918601987469404 | User: 3 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-11 09:59:37.232947 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, ('Data processing error occurred: API ERROR: NOTOK', 6)]
Time: 2024-04-11 10:06:05.312454 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-11 10:06:25.954605 | Guild: 1058918601987469404 | User: 4 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-11 10:06:45.955335 | Guild: 1058918601987469404 | User: 4 | Cmd: Averify | Flags: [2, 2, 2]
Time: 2024-04-11 10:07:34.189920 | Guild: 1058918601987469404 | User: 4 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-11 10:15:44.405344 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-11 10:17:12.987148 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-11 10:17:37.060449 | Guild: 1058918601987469404 | User: 5 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-11 10:18:05.976078 | Guild: 1058918601987469404 | User: 5 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-11 10:19:14.037691 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-11 10:21:41.836446 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-11 10:22:12.372866 | Guild: 1058918601987469404 | User: 6 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-11 10:26:43.993992 | Guild: 1058918601987469404 | User: 6 | Cmd: Adelete | Flags: [2, 2, 2, 2]
Time: 2024-04-11 10:27:27.330105 | Guild: 1058918601987469404 | User: 6 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-11 10:55:51.295573 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, ('Data processing error occurred: API ERROR: NOTOK', 6)]
Time: 2024-04-11 10:59:29.012088 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, ('Data processing error occurred: API ERROR: NOTOK', 6)]
Time: 2024-04-11 11:00:53.891325 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-11 11:01:31.031309 | Guild: 1058918601987469404 | User: 7 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-11 11:04:12.874564 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-11 11:05:39.586145 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-11 11:06:06.570229 | Guild: 1058918601987469404 | User: 8 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-11 11:07:57.443243 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-11 11:08:52.832050 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-11 11:09:14.772352 | Guild: 1058918601987469404 | User: 9 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-11 11:16:02.457728 | Guild: 1058918601987469404 | User: 9 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-11 11:21:45.441934 | Guild: 1058918601987469404 | User: 9 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-14 16:01:25.883273 | Guild: 1058918601987469404 | User: 9 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-15 08:12:58.140296 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-15 08:15:50.291473 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-15 08:16:02.484376 | Guild: 1058918601987469404 | User: 10 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-15 08:16:44.597068 | Guild: 1058918601987469404 | User: 10 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-21 11:04:46.966564 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 2024-04-21 11:06:18.347805 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-21 11:06:31.868831 | Guild: 1058918601987469404 | User: 11 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-21 11:06:44.289101 | Guild: 1058918601987469404 | User: 11 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-21 11:53:05.005595 | Guild: 1058918601987469404 | User: 11 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 2024-04-21 11:53:17.570685 | Guild: 1058918601987469404 | User: 11 | Cmd: Fverify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-21 12:27:26.657755 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-21 12:27:40.351949 | Guild: 1058918601987469404 | User: 12 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-21 12:27:51.451318 | Guild: 1058918601987469404 | User: 12 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 2024-04-21 12:30:54.099426 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 2024-04-21 12:31:10.293421 | Guild: 1058918601987469404 | User: 13 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 2024-04-21 12:31:19.408174 | Guild: 1058918601987469404 | User: 13 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 04/25/2024 08:32 | Guild: 1058918601987469404 | User: 13 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 04/25/2024 09:53 | Guild: 1058918601987469404 | User: 13 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 04/25/2024 09:53 | Guild: 1058918601987469404 | User: 13 | Cmd: Fverify | Flags: [2, 2, 2, 2, 2]
Time: 04/27/2024 11:35 | Guild: 1058918601987469404 | User: None | Cmd: Bdelete | Flags: [2, 2, 2]
Time: 04/27/2024 11:37 | Guild: 1058918601987469404 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 04/27/2024 11:38 | Guild: 1058918601987469404 | User: 14 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 04/27/2024 11:38 | Guild: 1058918601987469404 | User: 14 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 04/30/2024 16:42 | Guild: 1058918601987469404 | User: 14 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:01 | Guild: 1053533258706595870 | User: None | Cmd: Bcreate | Flags: [2, 2]
Time: 05/29/2024 09:02 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2]
Time: 05/29/2024 09:04 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2]
Time: 05/29/2024 09:06 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 4]
Time: 05/29/2024 09:06 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 4]
Time: 05/29/2024 09:09 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 4]
Time: 05/29/2024 09:10 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 4]
Time: 05/29/2024 09:13 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 'Hosted Community Name Not Found']
Time: 05/29/2024 09:15 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 'Hosted Community Name Not Found']
Time: 05/29/2024 09:16 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 'Hosted Community Name Not Found']
Time: 05/29/2024 09:18 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:20 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:21 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:26 | Guild: 1053533258706595870 | User: 1 | Cmd: Adelete | Flags: [2, 2, 2, 2]
Time: 05/29/2024 09:30 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:31 | Guild: 1053533258706595870 | User: 1 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:31 | Guild: 1053533258706595870 | User: 1 | Cmd: Xcreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:34 | Guild: 1053533258706595870 | User: 1 | Cmd: Aretrieve | Flags: [2, 2, 2]
Time: 05/29/2024 09:34 | Guild: 1053533258706595870 | User: 1 | Cmd: Fretrieve | Flags: [2, 2, 2]
Time: 05/29/2024 09:35 | Guild: 1053533258706595870 | User: 1 | Cmd: Xretrieve | Flags: [2, 2, 2]
Time: 05/29/2024 09:35 | Guild: 1053533258706595870 | User: 1 | Cmd: Adelete | Flags: [2, 2, 2, 2]
Time: 05/29/2024 09:35 | Guild: 1053533258706595870 | User: 1 | Cmd: Fdelete | Flags: [2, 2, 2, 2]
Time: 05/29/2024 09:35 | Guild: 1053533258706595870 | User: 1 | Cmd: Xdelete | Flags: [2, 2, 2, 2]
Time: 05/29/2024 09:55 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 05/29/2024 09:56 | Guild: 1053533258706595870 | User: 1 | Cmd: Averify | Flags: [2, 2, 2, 2, 2]
Time: 05/29/2024 15:56 | Guild: 1053533258706595870 | User: 1 | Cmd: Fcreate | Flags: [2, 2, 2]
Time: 05/29/2024 15:56 | Guild: 1053533258706595870 | User: 1 | Cmd: Fverify | Flags: [2, 2, 2, 2, 2]
Time: 05/30/2024 08:14 | Guild: 1053533258706595870 | User: 1 | Cmd: Acreate | Flags: [2, 2, 2]
Time: 05/30/2024 08:16 | Guild: 1053533258706595870 | User: 1 | Cmd: Fcreate | Flags: [2, 2, 2]
